Week,Organization,Treasury,Members,Territories,Heat,Active
0,Kimber's Boys,1318,5,1,4,True
0,Backstreet Boys,2279,5,1,0,True
0,Sabini's Gang,1804,5,1,0,True
0,Solomons' Bakery,1610,5,1,0,True
0,Peaky Blinders,974,5,1,7,True
0,The Cabal,887,5,1,7,True
1,Kimber's Boys,1143,5,1,11,True
1,Backstreet Boys,1581,6,1,0,True
1,Sabini's Gang,1836,4,1,0,True
1,Solomons' Bakery,1658,5,2,5,True
1,Peaky Blinders,1154,5,1,7,True
1,The Cabal,947,5,1,7,True
2,Kimber's Boys,1331,5,2,16,True
2,Backstreet Boys,1563,6,1,0,True
2,Sabini's Gang,1888,4,1,0,True
2,Solomons' Bakery,1060,6,2,5,True
2,Peaky Blinders,634,6,1,7,True
2,The Cabal,1007,5,1,7,True
3,Kimber's Boys,1559,5,2,14,True
3,Backstreet Boys,1395,6,1,4,True
3,Sabini's Gang,1440,4,1,10,True
3,Solomons' Bakery,842,6,2,12,True
3,Peaky Blinders,794,6,1,7,True
3,The Cabal,1067,5,1,2,True
4,Kimber's Boys,1087,6,2,14,True
4,Backstreet Boys,1152,6,1,11,True
4,Sabini's Gang,1578,4,2,15,True
4,Solomons' Bakery,994,6,2,11,True
4,Peaky Blinders,954,6,1,7,True
4,The Cabal,1127,5,2,7,True
5,Kimber's Boys,595,7,2,21,True
5,Backstreet Boys,573,6,1,11,True
5,Sabini's Gang,1787,4,2,15,True
5,Solomons' Bakery,996,6,2,15,True
5,Peaky Blinders,414,7,1,7,True
5,The Cabal,1225,5,2,22,True
6,Kimber's Boys,783,6,2,21,True
6,Backstreet Boys,694,5,1,26,True
6,Sabini's Gang,1996,2,3,27,True
6,Solomons' Bakery,1204,6,2,15,True
6,Peaky Blinders,304,8,1,7,True
6,The Cabal,1323,5,3,27,True
7,Kimber's Boys,291,6,2,21,True
7,Backstreet Boys,335,4,1,36,True
7,Sabini's Gang,1633,3,3,27,True
7,Solomons' Bakery,1412,6,2,14,True
7,Peaky Blinders,424,8,1,6,True
7,The Cabal,1217,5,3,34,True
8,Kimber's Boys,499,6,2,11,True
8,Backstreet Boys,307,4,1,36,True
8,Sabini's Gang,1250,4,3,27,True
8,Solomons' Bakery,1620,6,2,13,True
8,Peaky Blinders,544,8,1,6,True
8,The Cabal,1000,5,3,44,True
9,Kimber's Boys,7,7,2,11,True
9,Backstreet Boys,279,4,1,43,True
9,Sabini's Gang,1547,2,3,42,True
9,Solomons' Bakery,1128,7,2,13,True
9,Peaky Blinders,164,8,1,16,True
9,The Cabal,1348,4,3,37,True
10,Kimber's Boys,145,8,2,11,True
10,Backstreet Boys,251,5,1,43,True
10,Sabini's Gang,1884,2,3,42,True
10,Solomons' Bakery,1316,7,2,13,True
10,Peaky Blinders,88,9,1,16,True
10,The Cabal,1716,4,4,42,True
11,Kimber's Boys,313,8,2,11,True
11,Backstreet Boys,303,5,1,47,True
11,Sabini's Gang,1521,3,3,42,True
11,Solomons' Bakery,804,8,2,13,True
11,Peaky Blinders,242,9,1,16,True
11,The Cabal,2120,4,4,36,True
12,Kimber's Boys,181,8,2,18,True
12,Backstreet Boys,295,5,1,54,True
12,Sabini's Gang,1838,3,3,57,True
12,Solomons' Bakery,972,8,3,18,True
12,Peaky Blinders,96,8,1,30,True
12,The Cabal,2524,4,5,41,True
13,Kimber's Boys,110,8,2,25,True
13,Backstreet Boys,998,5,2,69,True
13,Sabini's Gang,2155,3,3,57,True
13,Solomons' Bakery,1035,8,3,22,True
13,Peaky Blinders,0,7,1,42,True
13,The Cabal,2953,4,5,41,True
14,Kimber's Boys,418,8,2,29,True
14,Backstreet Boys,771,6,2,69,True
14,Sabini's Gang,2172,3,3,64,True
14,Solomons' Bakery,1331,8,3,22,True
14,Peaky Blinders,245,7,2,47,True
14,The Cabal,3382,3,5,56,True
15,Kimber's Boys,426,8,2,36,True
15,Backstreet Boys,1074,6,2,73,True
15,Sabini's Gang,2543,3,3,79,True
15,Solomons' Bakery,1627,8,3,22,True
15,Peaky Blinders,340,7,2,54,True
15,The Cabal,3681,3,5,60,True
16,Kimber's Boys,793,8,2,36,True
16,Backstreet Boys,1224,5,2,47,True
16,Sabini's Gang,2214,4,3,79,True
16,Solomons' Bakery,1923,8,3,22,True
16,Peaky Blinders,685,7,2,45,True
16,The Cabal,4186,3,5,52,True
17,Kimber's Boys,1160,6,3,41,True
17,Backstreet Boys,1442,5,2,54,True
17,Sabini's Gang,1586,4,2,49,True
17,Solomons' Bakery,2219,8,3,12,True
17,Peaky Blinders,1030,7,2,39,True
17,The Cabal,3991,4,5,52,True
18,Kimber's Boys,897,7,3,41,True
18,Backstreet Boys,1739,5,2,61,True
18,Sabini's Gang,1149,5,2,49,True
18,Solomons' Bakery,1815,9,3,12,True
18,Peaky Blinders,675,8,2,39,True
18,The Cabal,3976,4,5,62,True
19,Kimber's Boys,1314,7,3,41,True
19,Backstreet Boys,2418,5,2,61,True
19,Sabini's Gang,1184,4,3,24,True
19,Solomons' Bakery,1941,9,3,16,True
19,Peaky Blinders,300,9,2,39,True
19,The Cabal,3854,3,5,32,True
